Location Code,Real Property Asset Name,Installation Name,Owned or Leased,GSA Region,Street Address,City,State,Zip Code,Latitude,Longitude,Building Rentable Square Feet,Available Square Feet,Construction Date,Congressional District,Congressional District Representative Name,Building Status,Real Property Asset Type
CA8526,10000 GOETHE RD,NA,L,9,10000 GOETHE RD,SACRAMENTO,CA,95827,38.55244044,-121.3294277,0,0,17-07-1905,606,Ami Bera,Active,BUILDING
GA2338,THOMPSON BRIDGE RD BLDG,NA,L,4,2565 THOMPSON BRIDGE RD,GAINESVILLE,GA,30501,34.33903,-83.848641,17844,0,22-06-1905,1309,Andrew Clyde,Active,BUILDING
WI1771,345 WEST WASHINGTON AVENUE,NA,L,5,345 W WASHINGTON AVE,MADISON,WI,53703,43.0714,-89.387941,10089,0,28-05-1905,5502,Mark Pocan,Active,BUILDING
MN1743,1301 1/2 7TH ST. NW,NA,L,5,1301 1/2 7TH ST NW,ROCHESTER,MN,55901,44.0318491,-92.4815976,3041,0,03-05-1905,2701,Brad Finstad,Active,BUILDING
MD1008,WOODLAWN OFFICE COMPLEX,NA,L,3,1718 WOODLAWN DR,WOODLAWN,MD,21207,39.31476,-76.737771,160810,0,08-04-1905,2407,Kweisi Mfume,Active,BUILDING
CO1890,466 TUCKER SREET,NA,L,8,466 TUCKER ST,CRAIG,CO,81625,40.51362,-107.545,5000,0,14-03-1905,803,Lauren Boebert,Active,BUILDING
CO1880,HORIZON COURT BUILDING,NA,L,8,744 HORIZON CT,GRAND JUNCTION,CO,81506,39.11318,-108.533,421,0,17-02-1905,803,Lauren Boebert,Active,BUILDING
FL2207,THE CRAGG BUILDING,NA,L,4,3452 LAKE LYNDA DR,ORLANDO,FL,32817,28.59947,-81.222241,22182,0,23-01-1905,1210,Maxwell Frost,Active,BUILDING
AZ8543,1840 N. 95TH AVE,NA,L,9,1840 NORTH 95TH AVENUE,PHOENIX,AZ,85037,33.467202,-112.2655095,7194,0,29-12-1904,403,Ruben Gallego,Active,BUILDING
FL0049,"U. S. COURTHOUSE, TALLAHASSEE, FL",NA,F,4,110 E PARK AVE,TALLAHASSEE,FL,32301,30.44252,-84.281351,40294.34,1971.024371,04-12-1904,1202,Neal Dunn,Active,BUILDING
MD0823,FRC BUILDING 1 OFFICE,WHITE OAK FED RS CENTER,F,11,10903 NEW HAMPSHIRE AVE,SILVER SPRING,MD,20993,39.036501,-76.982792,87916.86,0,09-11-1904,2408,Jamie Raskin,Active,BUILDING
CA0762,FEDERAL CNTR BLDG 2A,ALAMEDA FED CTR,F,9,620 CENTRAL AVE,ALAMEDA,CA,94501,37.771563,-122.27904,8219.3,8620.28112,15-10-1904,612,Barbara Lee,Excess,BUILDING
CA6971,1492 OREGON AVENUE,NA,L,9,1492 OREGON AVE,LONG BEACH,CA,90813,33.78556,-118.2007,10235,0,20-09-1904,642,Robert Garcia,Active,BUILDING
